"ano","codigo_municipio","nome_municipio","cor_raca_branca","cor_raca_preta","cor_raca_amarela","cor_raca_parda","cor_raca_indigena","cor_raca_ignorada","tipo_gravidez_unica","tipo_gravidez_dupla","tipo_gravidez_tripla_ou_mais","tipo_gravidez__ignorada","gestacao_menos_de_22_semanas","gestacao_22_a_27_semanas","gestacao_28_a_31_semanas","gestacao_32_a_36_semanas","gestacao_37_a_41_semanas","gestacao_42_semanas_ou_mais","gestacao_ignorada","peso_menos_500g","peso_500_a_999g","peso_1000_a_1499g","peso_1500_a_2499g","peso_2500_a_2999g","peso_3000_a_3999g","peso_4000g_ou_mais","peso_ignorado","anomalia_presente","anomalia_nao_presente","anomalia_ignorada","sexo_masculino","sexo_feminino","sexo_ignorado","tipo_de_parto_vaginal","tipo_de_parto_cesariano","tipo_de_parto_ignorado","idade_mae_menos_10_anos","idade_mae_10_a_14_anos","idade_mae_15_a_19_anos","idade_mae_20_a_24_anos","idade_mae_25_a_29_anos","idade_mae_30_a_34_anos","idade_mae_35_a_39_anos","idade_mae_40_a_44_anos","idade_mae_45_a_49_anos","idade_mae_50_a_54_anos","idade_mae_55_a_59_anos","idade_mae_60_a_64_anos","idade_mae_65_a_69_anos","idade_mae_ignorada","mae_sem_escolaridade","tempo_de_estudo_mae_1_a_3_anos","tempo_de_estudo_mae_4_a_7_anos","tempo_de_estudo_mae_8_a_11_anos","tempo_de_estudo_mae_mais_de_12_anos","tempo_de_estudo_mae_ignorado","estado_civil_mae_solteira","estado_civil_mae_casada","estado_civil_mae_viuva","estado_civil_mae_separada_judicialmente","estado_civil_mae_uniao_consensual","estado_civil_mae_ignorado"
"2016","110060",CACAULANDIA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"2016","110070",CAMPO NOVO DE RONDONIA,1,0,0,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0
"2016","110080",CANDEIAS DO JAMARI,0,0,0,5,0,0,5,0,0,0,0,0,0,3,2,0,0,0,0,0,3,0,2,0,0,0,4,1,3,2,0,5,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,3,0,0,0,2,0
"2016","110094",CUJUBIM,3,1,0,6,0,0,10,0,0,0,0,1,0,2,7,0,0,0,1,0,1,1,5,2,0,1,9,0,4,6,0,10,0,0,0,0,2,5,1,1,1,0,0,0,0,0,0,0,1,1,6,2,0,0,2,2,0,1,5,0
"2016","110100",GOVERNADOR JORGE TEIXEIRA,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"2016","110110",ITAPUA DO OESTE,1,1,0,8,0,0,10,0,0,0,0,0,1,1,7,0,1,0,0,0,0,1,8,1,0,0,9,1,4,6,0,10,0,0,0,0,3,4,2,0,1,0,0,0,0,0,0,0,0,0,3,7,0,0,3,0,0,0,5,2
"2016","110130",MIRANTE DA SERRA,48,6,1,61,0,2,118,0,0,0,0,0,1,4,101,7,5,0,1,0,2,20,85,10,0,0,115,3,55,63,0,5,112,1,0,0,15,30,33,28,10,2,0,0,0,0,0,0,0,10,35,67,5,1,13,59,0,3,41,2
"2016","110140",MONTE NEGRO,11,2,0,51,1,0,65,0,0,0,0,1,0,4,58,1,1,0,1,0,0,3,56,5,0,0,64,1,37,28,0,13,52,0,0,0,11,25,13,10,3,3,0,0,0,0,0,0,0,3,13,19,8,22,5,29,0,1,29,1
"2016","110146",PIMENTEIRAS DO OESTE,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"2016","110148",SAO FELIPE D'OESTE,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"2016","110149",SAO FRANCISCO DO GUAPORE,133,38,2,306,3,31,511,2,0,0,1,2,3,24,457,18,8,2,1,1,18,106,360,25,0,1,512,0,275,238,0,110,403,0,0,6,146,149,120,62,28,2,0,0,0,0,0,0,4,9,110,330,50,10,154,124,0,4,196,35
"2016","110150",SERINGUEIRAS,4,0,0,8,0,0,10,2,0,0,0,0,0,2,9,1,0,0,0,0,2,1,8,1,0,0,12,0,3,9,0,9,3,0,0,0,3,2,3,3,0,1,0,0,0,0,0,0,0,1,1,9,1,0,0,7,0,0,5,0
"2016","110170",URUPA,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"2016","110175",VALE DO ANARI,0,0,0,3,0,1,4,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,3,0,0,0,4,0,3,1,0,4,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,1,0,0,2,0
"2016","120001",ACRELANDIA,6,3,0,19,0,2,30,0,0,0,0,0,0,2,26,1,1,0,0,0,0,3,26,1,0,0,30,0,15,15,0,30,0,0,0,0,4,11,10,4,1,0,0,0,0,0,0,0,0,3,10,12,4,1,5,5,0,0,18,2
"2016","120005",ASSIS BRASIL,3,1,0,28,25,2,58,0,0,1,1,1,1,4,34,4,14,1,0,1,3,11,29,2,12,0,48,11,32,27,0,55,0,4,0,2,9,15,16,9,7,0,1,0,0,0,0,0,14,13,17,12,1,2,10,3,0,0,43,3
"2016","120010",BRASILEIA,32,7,0,695,14,20,758,9,0,1,1,6,6,74,574,64,43,4,1,4,35,141,537,46,0,7,734,27,401,366,1,441,327,0,0,21,207,193,157,121,51,18,0,0,0,0,0,0,28,114,233,248,67,78,125,134,0,1,475,33
"2016","120020",CRUZEIRO DO SUL,127,31,0,2219,52,225,2610,44,0,0,0,9,25,335,2092,181,12,4,7,14,175,564,1747,140,3,8,2612,34,1380,1273,1,1457,1197,0,0,38,736,714,536,368,198,59,5,0,0,0,0,0,131,147,500,1503,267,106,505,457,2,7,1627,56
"2016","120025",EPITACIOLANDIA,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
